monitor,gas,slope,intercept,R2
MOD-00400,co,1.881965736001554,-181.09580088351862,0.40685836993763463
MOD-00400,no,0.6137194673385514,0.8327395215792354,0.4984542018428593
MOD-00400,no2,0.17799407340738374,3.715307711947676,0.07110604739000724
MOD-00400,o3,1.0449805115590418,-5.987880335514417,0.7582157306189429
MOD-00398,co,0.8879503820793568,103.08320572345552,0.8698486528643603
MOD-00398,no,0.4184402831503599,1.2098398072728735,0.5706373443023492
MOD-00398,no2,0.8354738099871374,1.5168164413732328,0.5546899277129296
MOD-00398,o3,1.079394319541695,-3.825610704258973,0.8998709881615787
MOD-00401,co,0.8795917157847221,107.23310793549311,0.8745381801374518
MOD-00401,no,0.42049234136315766,1.2141761852796609,0.18938631764906838
MOD-00401,no2,0.7624605431010633,2.0738271751908526,0.48115117604077295
MOD-00401,o3,0.9371153127479404,-0.1966382079880377,0.9734062886763097
MOD-00399,co,0.9276937138658735,58.37087856311123,0.9691583717252069
MOD-00399,no,0.5247102399808885,0.9326888300180833,0.8159333780411139
MOD-00399,no2,0.8876334743882369,1.3328976157048946,0.5334409126118713
MOD-00399,o3,0.8833135856308855,-1.5936100681218817,0.9081189663782496
MOD-00397,co,1.0000000000000198,-1.3384138585839645e-11,1
MOD-00397,no,0.9999999999997945,4.3075531557460645e-13,1
MOD-00397,no2,1.0000000000000888,-6.08682027300965e-13,1
MOD-00397,o3,0.9999999999999964,9.72760691767976e-14,1
